0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.292,0.284,0.116,-0.748,-0.122,0.082,-0.836,-0.108,0.08,0.188,-0.092,0.032,0.986,0.002,-0.004,0.432,0.06,-0.004,-0.676,-0.016,-0.02,-0.92,-0.038,0.046,0.096,0.008,0.004,3.681760045216257,-1.0431749463912467,5.52984882661306,7.061252056106845,0.0
1.0,1.0,1.0,0.712,0.464,0.356,-0.028,-0.372,-0.008,-0.724,-0.778,0.566,-1.0,-0.404,0.404,-0.772,0.186,-0.134,-0.11,0.57,-0.028,0.638,0.362,0.232,0.994,-0.18,-0.186,0.732,-0.444,-0.356,0.4676908071594137,-0.4522009699383738,5.796069832089626,4.428528271415969,0.0
1.0,1.0,1.0,0.418,0.624,0.27,0.026,0.208,0.026,-0.138,-0.18,-0.03,-0.128,-0.346,0.014,-0.05,-0.326,0.012,-0.038,-0.182,-0.012,0.024,-0.012,-0.044,0.002,0.08,0.022,-0.006,0.17,-0.024,1.3217324973489277,3.2783722495860896,3.738531317797893,4.156964112242133,0.0
1.0,1.0,1.0,0.202,0.5,0.098,-0.392,-0.386,0.134,-0.238,-0.994,0.232,0.108,-0.638,-0.07,0.16,0.344,0.036,0.048,0.968,0.044,-0.096,0.754,-0.094,0.016,-0.178,0.002,0.028,-0.92,-0.02,-1.4290204395304729,2.376812830215397,5.761676766746512,7.425600843614924,0.0
1.0,1.0,1.0,0.774,0.736,0.566,0.378,0.102,-0.004,-0.028,-0.506,0.006,-0.346,-0.888,0.302,-0.578,-0.762,0.444,-0.568,-0.338,0.254,-0.406,0.268,-0.098,-0.244,0.67,-0.206,0.026,0.718,0.028,0.16503420014936254,0.5762271622425067,4.132500971557636,3.055290034591704,0.0
1.0,1.0,1.0,0.794,-0.096,-0.098,0.262,-0.486,-0.128,-0.434,0.116,-0.054,-0.9,0.178,-0.162,-0.978,-0.108,0.102,-0.59,-0.068,0.05,0.066,0.09,0.004,0.614,0.042,0.012,0.99,-0.05,-0.052,2.2303468151340358,-0.02150837890335433,9.715785478341639,3.8793087089190097,0.0
1.0,1.0,1.0,0.696,0.564,0.432,0.24,-0.064,-0.028,-0.23,-0.48,0.134,-0.552,-0.502,0.302,-0.594,-0.26,0.134,-0.408,0.136,-0.128,-0.184,0.274,-0.03,0.124,0.278,0.014,0.318,0.062,0.02,0.9832713733628285,0.5766512437268179,4.800555229565751,3.6465346911692906,0.0
1.0,1.0,1.0,0.418,0.15,0.06,-0.06,-0.222,0.09,-0.194,-0.07,-0.036,-0.08,-0.002,0.002,-0.062,0.01,0.004,-0.028,0.036,0.024,0.102,0.002,0.008,0.042,-0.01,-0.004,-0.008,-0.036,-0.032,3.8419851427743685,3.1401525621841286,7.522011275760623,4.8936153224234085,0.0
1.0,1.0,1.0,0.904,0.244,0.196,0.624,-0.832,-0.528,0.196,-0.814,-0.142,-0.274,0.338,-0.044,-0.628,1.0,-0.628,-0.912,0.322,-0.298,-0.994,-0.8,0.798,-0.828,-0.814,0.69,-0.51,0.248,-0.13,-0.8395404779139786,-1.216853987316107,7.172944684149993,2.6452177722350276,0.0
1.0,1.0,1.0,0.268,0.352,0.148,-0.72,-0.472,0.324,-0.608,-0.54,0.308,0.324,-0.146,-0.106,0.722,0.32,0.246,0.044,0.328,0.008,-0.546,-0.01,0.0,-0.368,-0.244,0.044,0.302,-0.108,-0.026,1.0336893996666368,0.41038258650812887,6.45303044594008,7.387066626538195,0.0
