0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.336,0.456,0.204,0.058,0.142,-0.004,0.014,-0.086,0.02,-0.058,-0.118,0.004,0.052,-0.072,-0.024,0.048,-0.076,-0.064,0.098,-0.026,0.036,0.018,0.004,0.01,0.012,0.0,0.02,3.098298108792455,5.351181336005682,3.5714018679895694,3.4999698069839553,0.0
1.0,1.0,1.0,0.404,0.248,0.124,-0.05,-0.072,0.006,-0.23,-0.038,0.02,-0.118,-0.054,-0.044,-0.012,0.018,-0.01,-0.034,-0.028,0.058,0.034,0.032,-0.01,0.032,-0.024,0.06,0.02,0.01,-0.03,5.060760399300792,2.8884570134339396,4.723311634023235,5.140186988996743,0.0
1.0,1.0,1.0,0.112,0.128,0.044,-0.258,-0.044,-0.018,-0.156,-0.022,-0.01,0.094,0.042,-0.004,0.008,0.068,-0.008,-0.01,-0.028,-0.054,-0.024,-0.01,0.054,-0.006,0.03,-0.044,0.008,0.014,-0.002,7.369495397806487,3.32208753473798,6.050757565243552,7.815967005698153,0.0
1.0,1.0,1.0,0.18,0.068,0.02,-0.426,-0.094,0.032,-0.284,-0.026,-0.03,0.08,0.006,-0.022,0.172,-0.04,-0.024,-0.048,-0.028,-0.028,-0.142,-0.04,-0.022,-0.018,0.026,0.036,0.082,0.026,0.092,7.524044441949144,1.8410097561153456,6.885321049820572,7.50658370181277,0.0
1.0,1.0,1.0,0.218,0.496,0.098,-0.498,-0.238,0.088,-0.168,-0.648,0.084,0.184,-0.426,-0.11,0.16,0.088,-0.048,-0.03,0.38,-0.022,-0.07,0.32,-0.062,-0.004,-0.016,-0.016,0.044,-0.288,-0.088,0.840465248845339,1.9211056515317246,5.61391938912337,7.782294578931445,0.0
1.0,1.0,1.0,0.226,0.414,0.1,-0.152,-0.132,0.04,-0.134,-0.336,0.126,0.056,-0.186,-0.038,-0.01,0.052,-0.03,0.092,0.138,0.046,-0.024,0.062,0.002,-0.064,0.034,-0.046,0.05,-0.028,0.002,2.1448510432272796,4.161165850513782,5.443252289009661,6.652403157806647,0.0
1.0,1.0,1.0,0.328,0.378,0.09,-0.046,-0.024,-0.018,-0.074,-0.232,0.018,-0.012,-0.152,0.024,0.004,-0.018,-0.038,0.012,0.088,0.008,0.022,0.048,0.01,0.048,0.03,0.022,-0.02,-0.01,-0.03,2.7912951669404324,4.541713741394581,4.946321087275022,4.779973061554713,0.0
1.0,1.0,1.0,0.372,0.412,0.164,-0.084,-0.43,0.07,-0.236,-0.606,0.166,-0.106,-0.202,0.032,-0.01,0.316,0.014,-0.004,0.38,0.008,0.008,0.108,-0.008,0.022,-0.244,-0.03,-0.032,-0.272,-0.032,0.8208444869661089,2.6418251162850344,6.255477362751999,5.231636104454557,0.0
1.0,1.0,1.0,0.852,0.5,0.428,0.688,0.09,0.034,0.542,-0.058,0.036,0.418,-0.218,-0.12,0.282,-0.14,-0.054,0.164,-0.012,0.052,0.036,0.014,-0.05,-0.006,-0.004,-0.022,0.002,-0.034,0.044,2.667077950549483,0.8568044487862649,3.7949364848684253,1.0790615369614271,0.0
1.0,1.0,1.0,0.252,0.544,0.14,0.032,0.362,0.018,-0.082,0.194,-0.016,-0.058,0.062,0.024,0.036,0.05,0.022,-0.032,0.028,-0.06,-0.004,-0.012,-0.004,0.004,0.01,0.014,0.026,0.046,0.036,3.0738047979022203,6.267828545343497,1.0247107363672745,4.064315648591798,0.0
